FACLID21,JURDID,STATE,COUNTY,FACLNAME,STRATUM,WEIGHT,CONFPOP,V19,NCONPOP,V21,TOTPOP,V23,NONCIT,V25,QWKNDR,WEEKNDR,V28,ADMALE,V30,ADFEML,V32,JUVMALE,V34,JUVFEML,V36,TOTGEND,V38,JUVADS,V40,CONVMALE,V42,CONVFML,V44,UNCONVML,V46,UNCONVFM,V48,TOTADCNV,V50,WHITE,V52,BLACK,V54,HISP,V56,AMINDALK,V58,ASIAN,V60,HAWPAC,V62,TWORACE,TWORACEF,RACESPEC,OTRACE,V65,RACEDK,RACEDKF,TOTRACE,V67,MARSHAL,V69,FBOP,V69F,ICE,V69I,BIA,V69B,OTRSPEC,OTRAUTH,V69OF,YOURST,V71,OTRST,V73,LOCSTATE,V75,LOCOTRST,V77,TOTAUTH,V79,ADMITS,V82,DSCGH,V85,PEAKDATE,DAYINMT,V87,ADP,V89,RATCAP,V91,ELECMON,V93,HOMDTN,V95,COMMSVC,V97,DAYRPTG,V99,PRETSUP,V101,WKPROG,V103,DRUGPROG,V105,PROGSPEC,OTRPROG,V108,TOTNONCF,V110,ADMLNCNF,V112,ADFMNCNF,V114,JVMLNCNF,V116,JVFMNCNF,V118,NCNFGNDR,V120,CONVNCNF,V122,UNCNVNCF,V124,TOTCNVST,V126,NCONPOP2
2.81054E+20,281054054,28,KNOX COUNTY,KNOX COUNTY JAIL,10,15.7,4,0,1,0,5,0,0,0,2,0,0,3,0,1,0,0,0,0,0,4,0,0,0,2,1,0,1,1,1,1,1,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,4,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,11,0,6,0,16,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1
4.2043E+19,42043002,4,CABOT CITY,CABOT CITY JAIL,10,15.7,5,0,0,0,5,0,0,0,2,0,0,3,0,2,0,0,0,0,0,5,0,0,0,0,0,0,0,3,0,2,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,5,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,16,0,13,0,26,10,0,5,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.81085E+20,281085085,28,THAYER COUNTY,THAYER COUNTY JAIL,10,15.7,5,0,0,0,5,0,0,0,2,0,0,5,0,0,0,0,0,0,0,5,0,0,0,3,0,0,0,2,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,5,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,15,6,0,5,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.62018E+20,362018051,36,STRONGSVILLE CITY,STRONGSVILLE CITY JAIL,10,15.7,5,0,0,0,5,0,0,0,2,0,0,3,0,2,0,0,0,0,0,5,0,0,0,2,0,0,0,1,0,2,0,5,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,5,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,10,0,13,0,3,11,0,2,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.2036E+19,12036005,1,SCOTTSBORO CITY,SCOTTSBORO CITY JAIL,10,15.7,6,0,0,0,6,0,0,0,2,0,0,2,0,4,0,0,0,0,0,6,0,0,0,2,0,4,0,0,0,0,0,6,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,6,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,32,0,32,1,25,15,0,5,1,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.91006E+20,291006006,29,EUREKA COUNTY,EUREKA COUNTY JAIL,10,15.7,6,0,0,0,6,0,0,0,2,0,0,6,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,5,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,6,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,9,29,6,0,4,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.51029E+20,351029029,35,MERCER COUNTY,MERCER COUNTY JAIL,10,15.7,6,0,0,0,6,0,0,0,1,0,0,6,0,0,0,0,0,0,0,6,0,0,0,3,0,0,0,3,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,6,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,4,0,0,0,4,0,4,0,7,0,9,14,0,12,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.61021E+20,161021021,16,CLAY COUNTY,CLAY COUNTY JAIL,10,15.7,7,0,0,0,7,0,2,0,2,0,0,7,0,0,0,0,0,0,0,7,0,0,0,2,0,0,0,5,0,0,0,7,0,5,0,0,0,2,0,0,0,0,0,0,0,0,0, ,0,0,0,0,7,0,0,0,0,0,2,0,0,0, ,0,0,0,0,0,0,0,0,0,0,2,0,11,0,7,0,21,8,0,6,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.11004E+20,111004004,11,BAKER COUNTY,BAKER COUNTY JAIL,10,15.7,8,0,0,0,8,0,0,0,2,0,0,7,0,1,0,0,0,0,0,8,0,0,0,5,0,0,0,2,0,1,0,8,0,2,0,6,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,8,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,30,12,0,7,1,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.11123E+20,111123123,11,SCHLEY COUNTY,SCHLEY COUNTY JAIL,10,15.7,8,0,0,0,8,0,0,0,1,1,0,8,0,0,0,0,0,0,0,8,0,0,0,5,0,0,0,3,0,0,0,8,0,5,0,3,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,8,0,0,0,0,0,0,0,0,0, ,0,0,4,0,0,0,1,0,0,0,5,0,6,0,11,0,1,10,0,9,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.41138E+20,441138138,44,KNOX COUNTY,KNOX COUNTY JAIL,10,15.7,8,0,0,0,8,0,0,0,2,0,0,8,0,0,0,0,0,0,0,8,0,0,8,2,0,0,0,6,0,0,0,8,0,4,0,1,0,3,0,0,0,0,0,0,0,0,0, ,0,8,0,8,8,0,0,0,0,0,0,0,0,0, ,0,0,1,0,0,0,2,0,0,0,3,0,6,0,3,0,26,9,0,8,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.2048E+19,42048001,4,BRINKLEY CITY,BRINKLEY CITY JAIL,10,15.7,9,0,0,0,9,0,0,0,2,0,0,8,0,1,0,0,0,0,0,9,0,0,0,8,0,1,0,0,0,0,0,9,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,9,0,0,0,0,0,0,0,0,0, ,0,0,1,0,0,0,0,0,0,0,1,0,0,9,0,9,30,10,0,5,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.71009E+20,271009009,27,CUSTER COUNTY,custer county law enforcement center,10,15.7,9,0,0,0,9,0,0,0,1,0,1,7,0,2,0,0,0,0,0,9,0,0,0,3,0,1,0,4,0,1,0,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,9,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,9,23,9,1,9,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.61076E+20,261076076,26,OSAGE COUNTY,OSAGE COUNTY JAIL,10,15.7,10,0,0,0,10,0,0,0,1,1,0,8,0,2,0,0,0,0,0,10,0,0,0,0,0,1,0,8,0,1,0,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,8,10,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,1,0,0,0,1,0,6,0,7,0,27,14,0,8,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.8107E+20,281070070,28,PIERCE COUNTY,PIERCE COUNTY JAIL,10,15.7,10,0,0,0,10,0,1,0,1,0,0,10,0,0,0,0,0,0,0,10,0,0,0,6,0,0,0,4,0,0,0,10,0,9,1,0,0,0,0,1,1,0,0,0,0,0,0, ,0,0,0,0,10,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,4,0,0,0,4,0,9,1,9,1,0,10,0,9,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.2025E+19,12025003,1,FORT PAYNE CITY,FORT PAYNE CITY JAIL,10,15.7,11,0,0,0,11,0,0,0,2,0,0,7,0,4,0,0,0,0,0,11,0,0,0,7,0,4,0,0,0,0,0,11,0,7,0,0,0,4,0,0,0,0,0,0,0,0,0, ,0,0,0,0,11,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,49,1,48,1,30,22,1,12,1,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.71048E+20,171048048,17,KINGMAN COUNTY,KINGMAN COUNTY JAIL,10,15.7,11,0,0,0,11,0,0,0,1,2,0,9,0,2,0,0,0,0,0,11,0,0,0,2,0,1,0,7,0,1,0,11,0,10,1,0,0,1,1,0,0,0,0,0,0,0,0, ,0,0,0,0,11,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,7,1,5,1,15,14,1,9,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.71031E+20,271031031,27,MINERAL COUNTY,MINERAL COUNTY JAIL,10,15.7,11,0,0,0,11,0,5,0,2,0,0,10,0,1,0,0,0,0,0,11,0,0,0,8,0,1,0,2,0,0,0,11,0,7,0,0,0,4,0,0,0,0,0,0,0,0,0, ,0,0,0,0,11,0,6,0,0,0,0,0,0,0, ,0,0,1,0,0,0,0,0,0,0,7,0,5,0,3,0,19,14,0,19,1,36,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.81041E+20,281041041,28,HAMILTON COUNTY,HAMILTON COUNTY JAIL,10,15.7,11,0,0,0,11,0,1,0,2,0,0,9,0,2,0,0,0,0,0,11,0,0,0,4,0,1,0,5,0,1,0,11,0,8,0,0,0,2,0,0,0,1,0,0,0,0,0, ,0,0,0,0,11,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,6,0,9,0,9,15,0,4,1,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.41013E+20,141013013,14,CLAY COUNTY,CLAY COUNTY JAIL,5,11.3636,14,0,0,0,14,0,0,0,1,3,0,14,0,0,0,0,0,0,0,14,0,0,0,7,0,0,0,7,0,0,0,14,0,12,0,2,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,14,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,0,9,15,0,12,1,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.31001E+20,231001001,23,ALCONA COUNTY,ALCONA COUNTY JAIL,10,15.7,14,0,0,0,14,0,0,0,1,3,0,12,0,2,0,0,0,0,0,14,0,0,0,9,0,2,0,3,0,0,0,14,0,13,0,0,0,1,0,0,0,0,0,0,0,0,0, ,0,0,0,0,14,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,30,0,29,1,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.41176E+20,441176176,44,NEWTON COUNTY,NEWTON COUNTY JAIL,7,1.4136,14,0,0,0,14,0,0,0,2,0,0,9,0,5,0,0,0,0,0,14,0,0,0,0,0,0,0,9,0,5,0,14,0,10,0,4,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,14,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,22,1,24,1,0,0,9,14,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.11082E+20,111082082,11,JENKINS COUNTY,JENKINS COUNTY JAIL,10,15.7,15,0,0,0,15,0,0,0,2,0,0,15,0,0,0,0,0,0,0,15,0,0,8,3,0,0,0,12,1,0,0,15,0,5,0,10,0,0,8,0,8,0,8,0,8,0,8, ,0,0,0,8,15,0,0,0,0,0,0,0,0,0, ,0,8,0,0,0,0,0,0,0,0,0,8,5,0,4,0,16,15,0,14,1,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.31025E+20,431025025,43,FENTRESS COUNTY,FENTRESS COUNTY JAIL,9,5.5377,15,0,0,0,15,0,0,0,2,0,0,15,0,0,0,0,0,0,0,15,0,0,0,15,0,0,0,0,0,0,0,15,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,15,0,0,0,0,0,0,0,0,0, ,0,0,2,0,0,0,0,0,0,0,2,0,40,0,50,0,26,24,0,20,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.01006E+20,501006006,50,BUFFALO COUNTY,BUFFALO COUNTY JAIL,10,15.7,15,0,0,0,15,0,0,0,2,0,0,14,0,1,0,0,0,0,0,15,0,0,8,12,0,1,0,2,0,0,0,15,0,14,0,1,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,15,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,7,0,5,0,6,20,0,18,1,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.61041E+20,261041041,26,HARRISON COUNTY,HARRISON COUNTY JAIL,7,1.4136,16,0,0,0,16,0,0,0,1,1,0,12,0,4,0,0,0,0,0,16,0,0,8,4,0,2,0,8,0,2,0,16,0,15,0,1,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,16,0,0,0,0,0,0,0,0,0, ,0,0,0,0,1,0,0,0,0,0,1,0,6,0,8,0,30,29,0,20,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.81013E+20,381013013,38,HARNEY COUNTY,HARNEY COUNTY JAIL,10,15.7,16,0,0,0,16,0,3,0,2,0,0,14,0,2,0,0,0,0,0,16,0,0,0,13,0,2,0,1,0,0,0,16,0,8,0,1,0,5,0,2,0,0,0,0,0,0,0, ,0,0,0,0,16,0,0,0,0,0,3,0,0,0, ,0,0,0,0,0,0,0,0,0,0,3,0,8,1,8,1,16,21,0,17,1,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.41202E+20,441202202,44,SABINE COUNTY,SABINE COUNTY JAIL,10,15.7,16,0,0,8,16,0,0,0,2,0,0,12,0,4,0,0,0,0,0,16,0,0,8,10,0,2,0,2,0,2,0,16,0,13,0,3,0,0,0,0,0,0,0,0,0,0,0, ,0,8,0,8,16,0,1,0,0,0,0,0,0,0, ,0,0,1,0,0,0,3,0,0,0,5,0,9,0,11,0,20,16,0,15,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.62016E+20,262016001,26,CAPE GIRARDEAU CITY,CAPE GIRARDEAU CITY JAIL,10,15.7,17,0,0,0,17,0,0,0,2,0,0,16,1,1,1,0,0,0,0,17,0,0,0,13,1,1,1,3,1,0,1,17,0,12,1,5,1,0,1,0,1,0,1,0,1,0,1, ,0,1,0,1,17,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,9,12,29,0,15,1,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.91012E+20,191012012,19,CAMERON PARISH,CAMERON PARISH JAIL,10,15.7,18,0,0,8,18,0,0,0,2,0,0,18,0,0,0,0,0,0,0,18,0,0,0,11,0,0,0,7,0,0,0,18,0,13,0,5,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,18,0,0,0,0,0,0,0,0,0, ,0,0,9,0,0,0,0,0,0,0,9,0,7,0,3,0,13,21,0,24,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.62018E+20,362018017,36,EAST CLEVELAND CITY,EAST CLEVELAND CITY JAIL,10,15.7,18,0,0,0,18,0,0,0,1,0,0,16,0,2,0,0,0,0,0,18,0,0,0,12,1,0,1,4,1,2,1,18,0,0,0,18,1,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,18,1,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,9,0,0,9,17,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.71034E+20,371034034,37,JEFFERSON COUNTY,JEFFERSON COUNTY JAIL,10,15.7,18,0,0,0,18,0,1,0,2,0,0,15,0,3,0,0,0,0,0,18,0,0,8,13,0,2,0,2,0,1,0,18,0,12,0,2,0,2,0,2,0,0,0,0,0,0,0, ,0,0,0,0,18,0,0,0,0,0,0,0,0,0, ,0,0,7,0,0,0,0,0,0,0,7,0,12,0,14,0,4,27,0,23,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.9202E+20,192020003,19,VILLE PLATTE CITY,VILLE PLATTE JAIL,5,11.3636,19,0,0,0,19,0,0,0,1,0,0,14,0,5,0,0,0,0,0,19,0,0,0,0,9,0,9,0,9,0,9,19,0,6,1,13,1,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,19,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,13,1,10,1,7,22,0,17,1,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
